Age Range,Current Work Arrangement,Industry,Hours Worked Per Week,Tasks Completed Per Week,Overall Productivity (1-5),Deadline Adherence,Productive Where,Work-Life Balance (1-5),Collaboration Tool Satisfaction (1-5),Manager Support (1-5),Feel Isolated
18-24,Fully In-Office,E-commerce,48,42,4,Most,Office,4,3,3,Yes
18-24,Fully Remote,Freelance Writing,49,47,4,Most,No difference,2,4,1,Sometimes
45-54,Fully Remote,Film Editing,49,41,4,Most,Office,4,1,1,Yes
35-44,Hybrid (Mix of remote and in-office),Graphic Design,38,23,3,Most,Home,5,2,5,Sometimes
55+,Fully In-Office,Social Media Marketing,41,45,2,Always,Home,3,5,5,Yes
18-24,Hybrid (Mix of remote and in-office),Education Technology,37,41,4,Sometimes,Home,2,4,5,Yes
45-54,Hybrid (Mix of remote and in-office),Freelance Writing,46,50,2,Most,Office,3,1,1,No
18-24,Fully Remote,UX/UI Design,40,23,4,Rarely,Home,1,5,5,No
45-54,Fully Remote,Online Fitness Training,35,34,4,Most,Office,3,5,2,Yes
25-34,Fully In-Office,Film Editing,37,23,1,Sometimes,Home,2,2,4,Sometimes
25-34,Fully In-Office,Digital Journalism,49,36,1,Rarely,Office,4,4,4,No
35-44,Fully In-Office,Virtual Tutoring,43,26,3,Sometimes,No difference,5,1,4,Sometimes
18-24,Fully In-Office,Start-up Operations,44,34,3,Rarely,Office,4,2,1,Yes
35-44,Fully In-Office,Digital Journalism,39,31,3,Always,No difference,1,3,2,Yes
45-54,Hybrid (Mix of remote and in-office),Freelance Writing,47,36,5,Rarely,Home,2,2,5,Sometimes
45-54,Hybrid (Mix of remote and in-office),Music Production,49,23,5,Sometimes,No difference,4,1,2,Sometimes
25-34,Fully In-Office,Virtual Tutoring,38,35,4,Sometimes,Home,5,4,3,Sometimes
45-54,Fully In-Office,Digital Journalism,39,36,2,Always,Home,1,4,2,No
35-44,Hybrid (Mix of remote and in-office),Crypto Trading,49,34,5,Most,No difference,5,1,1,No
25-34,Hybrid (Mix of remote and in-office),Crypto Trading,43,36,2,Most,No difference,3,5,3,Yes
18-24,Hybrid (Mix of remote and in-office),App Development,48,26,3,Rarely,Home,4,4,5,No
25-34,Fully Remote,Virtual Tutoring,49,44,3,Most,Office,4,3,2,Sometimes
25-34,Hybrid (Mix of remote and in-office),Data Science,42,45,4,Sometimes,Home,2,1,1,Sometimes
25-34,Fully In-Office,Game Development,41,40,4,Always,No difference,2,1,3,No
35-44,Fully In-Office,UX/UI Design,41,49,3,Rarely,Home,2,4,1,No
55+,Hybrid (Mix of remote and in-office),Crypto Trading,49,21,3,Sometimes,Home,1,5,5,Sometimes
18-24,Hybrid (Mix of remote and in-office),Game Development,48,48,4,Always,Home,2,3,5,Yes
45-54,Fully Remote,Digital Journalism,43,36,3,Rarely,Home,5,1,5,Sometimes
45-54,Fully Remote,Digital Journalism,43,41,5,Always,No difference,2,4,5,Yes
35-44,Hybrid (Mix of remote and in-office),Film Editing,46,32,4,Most,Office,2,2,2,Sometimes
35-44,Hybrid (Mix of remote and in-office),Online Fitness Training,36,45,2,Rarely,No difference,3,1,4,Yes
25-34,Fully In-Office,Health & Wellness Coaching,46,40,1,Sometimes,No difference,2,1,2,Sometimes
18-24,Hybrid (Mix of remote and in-office),Health & Wellness Coaching,38,36,3,Sometimes,No difference,1,5,3,Sometimes
25-34,Hybrid (Mix of remote and in-office),Virtual Tutoring,44,26,3,Most,Office,4,3,3,No
45-54,Fully In-Office,Graphic Design,45,46,4,Sometimes,Home,4,4,2,No
25-34,Hybrid (Mix of remote and in-office),Health & Wellness Coaching,44,44,5,Rarely,No difference,4,1,1,Yes
25-34,Hybrid (Mix of remote and in-office),Online Fitness Training,35,33,3,Most,Home,1,4,5,Sometimes
18-24,Hybrid (Mix of remote and in-office),Game Development,43,21,3,Sometimes,No difference,2,1,2,Sometimes
18-24,Hybrid (Mix of remote and in-office),Game Development,37,36,3,Rarely,Home,1,5,2,No
35-44,Hybrid (Mix of remote and in-office),Data Science,37,46,2,Always,Home,5,4,5,Sometimes
25-34,Hybrid (Mix of remote and in-office),E-commerce,45,23,3,Most,Office,1,4,3,No
